Time [min],Capstan speed [m/min],Preform feed rate [mm/min],Temperature [C],Tension [g],Preform Pressure [mBar],Diameter [mm],Diameter X [um],Diameter Y [um]
23.562167,0.061051,-0.000628,181.538463,45.071565,-0.180672,295.000000,293.000000,298.000000
23.575558,0.010051,0.014659,181.589463,44.842105,0.125259,295.000000,293.000000,298.000000
23.588871,0.035551,0.029947,181.487463,44.689132,0.329213,295.000000,293.000000,298.000000
23.602160,0.035551,0.009564,181.487463,44.995079,-0.180672,295.000000,293.000000,298.000000
23.615464,-0.015448,0.019755,181.334463,44.995079,-0.180672,296.000000,293.000000,298.000000
23.628781,0.061051,0.004468,181.232462,44.918592,0.023282,295.000000,293.000000,298.000000
23.642155,0.010051,0.004468,181.232462,44.842105,0.125259,296.000000,293.000000,298.000000
23.655682,0.010051,0.019755,181.181462,44.765619,0.227236,296.000000,293.000000,298.000000
23.668778,-0.015448,0.009564,181.028462,44.842105,-0.180672,295.000000,293.000000,298.000000
23.682125,0.035551,0.019755,181.028462,44.918592,-0.282649,295.000000,293.000000,298.000000
23.695552,0.061051,0.014659,180.926462,44.918592,0.023282,296.000000,293.000000,298.000000
23.708793,0.061051,-0.000628,180.671462,44.842105,0.023282,295.000000,293.000000,298.000000
23.722176,0.086550,0.004468,180.722462,44.842105,0.023282,295.000000,293.000000,298.000000
23.735466,0.010051,0.009564,180.773462,44.842105,-0.180672,295.000000,293.000000,298.000000
23.749081,0.010051,0.014659,180.671462,45.071565,-0.180672,295.000000,293.000000,298.000000
23.762119,0.010051,0.009564,180.569461,44.842105,0.227236,295.000000,293.000000,298.000000
23.775456,0.061051,0.009564,180.365461,44.995079,0.023282,296.000000,293.000000,298.000000
23.788988,0.010051,0.014659,180.518461,44.689132,0.329213,296.000000,293.000000,298.000000
23.802125,0.061051,-0.000628,180.365461,44.842105,0.023282,295.000000,293.000000,298.000000
23.815595,-0.015448,0.014659,180.314461,44.918592,-0.180672,295.000000,293.000000,298.000000
23.828802,0.010051,0.009564,180.212461,44.842105,-0.078695,296.000000,293.000000,298.000000
23.842116,-0.015448,0.009564,180.263461,44.842105,0.125259,295.000000,293.000000,298.000000
23.855507,0.010051,-0.000628,180.161461,44.995079,-0.180672,295.000000,293.000000,298.000000
23.868839,-0.066447,0.029947,180.212461,44.765619,0.227236,296.000000,293.000000,298.000000
23.882126,0.061051,0.009564,179.906460,44.918592,0.125259,296.000000,293.000000,298.000000
23.895438,-0.015448,0.009564,180.059461,44.842105,0.023282,295.000000,293.000000,298.000000
23.909073,-0.066447,0.029947,179.906460,44.842105,0.125259,295.000000,293.000000,298.000000
23.922355,0.010051,0.014659,179.804460,45.224539,-0.180672,295.000000,293.000000,298.000000
23.935474,-0.040948,0.029947,179.855460,43.847779,0.023282,295.000000,293.000000,298.000000
23.948797,-0.015448,0.024851,179.651460,44.612645,0.329213,295.000000,293.000000,298.000000
23.962196,0.086550,0.009564,179.549460,44.842105,-0.078695,295.000000,293.000000,298.000000
23.975515,0.061051,-0.005724,179.498460,44.077239,-0.180672,295.000000,293.000000,298.000000
23.988868,0.086550,-0.005724,179.345460,45.071565,-0.282649,295.000000,293.000000,298.000000
24.002112,0.010051,0.004468,179.345460,44.995079,-0.384626,295.000000,293.000000,298.000000
24.015522,-0.015448,0.019755,179.396460,45.148052,0.023282,295.000000,293.000000,298.000000
24.028761,0.010051,0.024851,179.243459,44.842105,0.023282,295.000000,293.000000,298.000000
24.042194,-0.066447,0.024851,179.243459,44.842105,0.329213,295.000000,293.000000,298.000000
24.055776,-0.015448,0.014659,179.090459,43.924266,0.023282,295.000000,293.000000,298.000000
24.068925,0.010051,0.029947,178.988459,44.689132,0.329213,295.000000,293.000000,298.000000
24.082134,-0.066447,0.029947,179.192459,44.765619,0.023282,295.000000,293.000000,298.000000
24.095708,0.035551,-0.000628,178.682459,44.077239,-0.078695,295.000000,293.000000,298.000000
