Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[mm],[um],[um]
14.470188,10.439381,4.009876,200.663491,54.632397,0.227236,300.000000,302.000000,297.000000
14.483586,10.388382,4.004780,200.663491,56.850510,0.227236,294.000000,305.000000,293.000000
14.496927,10.541379,4.020068,200.663491,55.550237,0.431190,298.000000,312.000000,307.000000
14.510190,10.668877,3.994588,200.408490,52.873204,0.023282,306.000000,301.000000,301.000000
14.523560,10.541379,4.025164,200.510491,52.796717,0.329213,303.000000,301.000000,298.000000
14.536889,10.566879,4.030260,200.510491,57.691863,0.329213,299.000000,301.000000,298.000000
14.550203,10.694377,4.004780,200.459490,58.150783,-0.180672,301.000000,307.000000,301.000000
14.563621,10.643378,4.009876,200.561491,55.856184,0.227236,295.000000,296.000000,294.000000
14.576914,10.566879,4.009876,200.561491,53.867531,0.329213,293.000000,294.000000,290.000000
14.590233,10.617878,4.009876,200.561491,54.020504,-0.180672,302.000000,304.000000,301.000000
14.603551,10.592378,4.009876,200.408490,56.850510,0.125259,294.000000,302.000000,299.000000
14.616877,10.541379,4.025164,200.561491,55.550237,0.329213,303.000000,303.000000,302.000000
14.630295,10.439381,4.025164,200.510491,54.938344,0.227236,301.000000,299.000000,299.000000
14.643569,10.515880,4.014972,200.408490,53.944017,0.023282,304.000000,306.000000,303.000000
14.656880,10.515880,4.009876,200.510491,53.867531,0.227236,307.000000,308.000000,306.000000
14.670229,10.490380,3.999684,200.561491,59.068623,0.023282,303.000000,304.000000,303.000000
14.683552,10.490380,3.984397,200.561491,55.932670,-0.282649,300.000000,301.000000,299.000000
14.696938,10.490380,4.009876,200.561491,54.785370,0.023282,300.000000,301.000000,300.000000
14.710207,10.719876,4.020068,200.561491,54.020504,-0.180672,304.000000,304.000000,302.000000
14.723568,10.745376,4.004780,200.204490,54.020504,0.125259,300.000000,302.000000,299.000000
14.736875,10.847374,3.999684,200.204490,56.926997,0.023282,300.000000,302.000000,299.000000
14.750191,10.719876,4.025164,200.459490,56.621050,0.227236,301.000000,301.000000,299.000000
14.763615,10.847374,4.009876,200.102490,57.844837,0.023282,301.000000,303.000000,300.000000
14.776914,10.770876,4.020068,200.204490,55.779697,-0.078695,300.000000,300.000000,298.000000
14.790237,10.821875,4.004780,200.153490,53.638071,0.227236,302.000000,303.000000,300.000000
14.803558,10.872874,4.009876,200.153490,54.861857,0.227236,307.000000,308.000000,305.000000
14.816872,10.974872,3.999684,200.000490,53.026177,-0.282649,301.000000,304.000000,300.000000
14.830258,10.898373,4.009876,200.000490,54.938344,-0.078695,301.000000,302.000000,299.000000
14.843555,11.000372,4.014972,199.898490,55.091317,-0.180672,301.000000,304.000000,299.000000
14.856892,10.949373,4.025164,200.000490,54.938344,0.023282,301.000000,303.000000,298.000000
14.870240,11.000372,4.020068,199.898490,57.691863,0.329213,303.000000,305.000000,300.000000
14.883555,11.076871,3.999684,200.000490,57.997810,-0.180672,300.000000,303.000000,297.000000
14.896985,11.025871,4.009876,200.051490,58.839163,-0.282649,300.000000,301.000000,297.000000
